iter	Passed	Remaining
0	13	2753
1	27	2711
2	45	3011
3	66	3252
4	95	3723
5	115	3733
6	137	3787
7	157	3777
8	170	3612
9	195	3705
10	211	3633
11	223	3508
12	245	3533
13	259	3441
14	277	3425
15	305	3509
16	317	3419
17	340	3446
18	357	3401
19	370	3338
20	390	3327
21	408	3307
22	428	3296
23	449	3292
24	464	3248
25	486	3258
26	506	3242
27	520	3197
28	543	3203
29	560	3174
30	585	3189
31	604	3172
32	624	3158
33	642	3138
34	661	3116
35	681	3104
36	696	3068
37	724	3086
38	739	3054
39	760	3040
40	786	3050
41	820	3086
42	840	3067
43	860	3050
44	883	3041
45	906	3036
46	921	2998
47	941	2980
48	962	2964
49	977	2932
50	998	2918
51	1015	2890
52	1037	2877
53	1056	2856
54	1069	2820
55	1087	2795
56	1104	2771
57	1128	2761
58	1145	2737
59	1162	2711
60	1179	2686
61	1204	2680
62	1226	2666
63	1242	2639
64	1259	2615
65	1277	2594
66	1318	2617
67	1337	2596
68	1357	2578
69	1380	2563
70	1401	2545
71	1422	2528
72	1435	2498
73	1457	2481
74	1479	2465
75	1501	2450
76	1519	2426
77	1542	2412
78	1564	2396
79	1585	2378
80	1598	2348
81	1622	2335
82	1639	2310
83	1657	2289
84	1677	2269
85	1702	2256
86	1721	2236
87	1738	2212
88	1757	2192
89	1801	2201
90	1825	2186
91	1847	2168
92	1863	2144
93	1885	2126
94	1903	2103
95	1925	2086
96	1945	2065
97	1966	2046
98	1983	2024
99	2000	2000
100	2028	1988
101	2046	1966
102	2068	1948
103	2085	1925
104	2108	1907
105	2129	1888
106	2149	1868
107	2169	1848
108	2192	1830
109	2217	1814
110	2240	1796
111	2261	1777
112	2283	1758
113	2308	1741
114	2332	1724
115	2350	1701
116	2368	1680
117	2403	1670
118	2436	1658
119	2452	1634
120	2474	1615
121	2495	1595
122	2516	1575
123	2542	1558
124	2559	1535
125	2581	1515
126	2597	1493
127	2623	1475
128	2640	1453
129	2666	1436
130	2683	1413
131	2704	1393
132	2725	1373
133	2744	1351
134	2768	1332
135	2785	1310
136	2807	1290
137	2831	1272
138	2855	1253
139	2874	1231
140	2900	1213
141	2922	1193
142	2943	1173
143	2958	1150
144	2981	1130
145	3003	1111
146	3033	1093
147	3057	1074
148	3082	1055
149	3121	1040
150	3139	1018
151	3164	999
152	3181	977
153	3199	955
154	3222	935
155	3248	916
156	3270	895
157	3285	873
158	3308	853
159	3344	836
160	3387	820
161	3421	802
162	3447	782
163	3476	763
164	3501	742
165	3531	723
166	3561	703
167	3594	684
168	3626	665
169	3643	642
170	3665	621
171	3681	599
172	3705	578
173	3730	557
174	3757	536
175	3776	514
176	3798	493
177	3820	472
178	3845	451
179	3865	429
180	3880	407
181	3902	385
182	3924	364
183	3946	343
184	3970	321
185	3985	300
186	4008	278
187	4027	257
188	4053	235
189	4087	215
190	4120	194
191	4152	173
192	4168	151
193	4199	129
194	4217	108
195	4242	86
196	4261	64
197	4277	43
198	4302	21
199	4318	0
